ApplicationNumber,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,MonthlyLoanPayment,MonthlyIncome,JobTenure,LoanApproved
12342,18,"$39,796.00",566,Employed,Bachelor,"$22,758.00",36 months,Single,0,Mortgage,0,Home Improvement,0,$632.17,"$3,316.33",2,No
17626,18,"$38,222.00",573,,High School,"$31,148.00",48 months,Married,5,Rent,0,Home Improvement,0,,"$3,185.17",5,No
26069,18,"$121,087.00",545,,Master,"$15,085.00",48 months,Married,4,Mortgage,0,Debt Consolidation,0,$314.27,"$10,090.58",5,Yes
26149,18,"$16,158.00",583,Employed,Bachelor,"$33,277.00",60 months,Married,2,Mortgage,0,Vehicle,0,,"$1,346.50",6,No
18718,18,"$76,417.00",606,,Bachelor,"$19,050.00",72 months,Married,2,Rent,0,Home Improvement,0,$264.58,"$6,368.08",3,No
21933,18,"$49,396.00",501,Employed,Bachelor,"$20,509.00",36 months,Single,0,Rent,0,Vehicle,1,$569.69,"$4,116.33",7,No
24240,18,"$76,384.00",526,Employed,High School,"$21,675.00",72 months,Married,0,Rent,0,Debt Consolidation,0,$301.04,,8,No
20551,18,"$50,153.00",546,Employed,High School,"$29,625.00",60 months,Married,2,Mortgage,0,Vehicle,1,$493.75,"$4,179.42",4,No
23424,18,"$49,001.00",515,Employed,Doctorate,"$25,476.00",60 months,Divorced,0,Mortgage,0,Education,0,$424.60,"$4,083.42",1,No
14914,18,"$19,691.00",594,,Diploma,"$21,247.00",96 months,Married,0,Mortgage,0,Debt Consolidation,0,$221.32,"$1,640.92",6,No
22101,18,"$28,326.00",607,Employed,Bachelor,"$15,201.00",24 months,Single,1,Rent,0,Vehicle,0,$633.38,"$2,360.50",2,No
13385,18,"$66,067.00",535,Employed,Master,"$14,716.00",48 months,Widowed,2,Own,0,Education,0,$306.58,"$5,505.58",4,No
21563,18,"$24,711.00",597,,Diploma,"$18,139.00",48 months,Single,0,Own,0,Vehicle,0,$377.90,"$2,059.25",7,No
12421,18,"$15,000.00",579,Employed,Bachelor,"$17,335.00",36 months,Married,1,Own,0,Debt Consolidation,0,$481.53,"$1,250.00",1,No
29123,18,"$29,448.00",579,Unemployed,Master,"$4,934.00",36 months,Single,4,Rent,0,Home Improvement,0,$137.06,"$2,454.00",8,No
19494,18,"$33,282.00",566,Employed,Bachelor,"$16,803.00",60 months,Married,2,Mortgage,0,Debt Consolidation,1,,"$2,773.50",5,No
13525,18,"$26,049.00",575,Employed,Bachelor,"$18,122.00",24 months,Single,0,Mortgage,0,Home Improvement,0,$755.08,"$2,170.75",9,No
11476,18,"$15,000.00",510,Employed,Diploma,"$4,698.00",36 months,Single,2,Mortgage,0,Vehicle,0,$130.50,,4,No
21044,18,"$29,381.00",587,Employed,Bachelor,"$28,956.00",96 months,Married,2,Other,0,Home Improvement,0,$301.63,"$2,448.42",5,No
18300,18,"$23,934.00",550,Employed,Doctorate,"$15,248.00",24 months,Widowed,0,Mortgage,0,Home Improvement,0,$635.33,"$1,994.50",1,No
17445,18,"$36,706.00",604,Employed,Doctorate,"$23,534.00",24 months,Divorced,4,Mortgage,0,Home Improvement,0,$980.58,"$3,058.83",9,No
13518,18,"$20,401.00",533,Employed,Bachelor,"$30,282.00",48 months,Single,2,Mortgage,0,Education,0,,"$1,700.08",3,No
23125,18,"$69,912.00",605,,Master,"$28,005.00",72 months,Married,0,Other,0,Education,0,$388.96,"$5,826.00",2,No
13531,18,"$75,204.00",589,,Bachelor,"$23,021.00",24 months,Single,3,Own,0,Debt Consolidation,0,$959.21,"$6,267.00",2,No
15474,18,"$35,467.00",430,Employed,High School,"$19,056.00",84 months,Single,0,Rent,0,Debt Consolidation,1,$226.86,"$2,955.58",6,No
10932,18,"$25,700.00",486,,Bachelor,"$49,903.00",36 months,Married,0,Mortgage,0,Education,0,"$1,386.19","$2,141.67",3,No
27596,18,"$32,330.00",523,Employed,Bachelor,"$57,780.00",120 months,Single,1,Mortgage,0,Home Improvement,1,$481.50,,0,No
24428,18,"$95,653.00",611,,Diploma,"$28,675.00",60 months,Divorced,1,Own,0,Debt Consolidation,0,$477.92,"$7,971.08",9,Yes
24774,18,"$43,878.00",528,Employed,Diploma,"$17,484.00",48 months,Married,4,Own,0,Home Improvement,0,,"$3,656.50",3,No
17909,18,"$32,484.00",525,,High School,"$23,463.00",60 months,Married,1,Own,0,Vehicle,0,$391.05,"$2,707.00",7,No
17255,18,"$22,538.00",622,Employed,Master,"$37,280.00",48 months,Married,1,Mortgage,0,Vehicle,0,$776.67,"$1,878.17",3,No
29534,18,"$65,982.00",580,,Bachelor,"$20,210.00",48 months,Divorced,1,Rent,0,Education,0,$421.04,,5,No
29063,18,"$40,360.00",602,Employed,Bachelor,"$24,169.00",60 months,Single,1,Rent,0,Vehicle,0,$402.82,"$3,363.33",5,No
30344,18,"$21,403.00",600,Employed,Master,"$41,405.00",48 months,Married,3,Rent,0,Home Improvement,0,,"$1,783.58",3,No
23187,18,"$28,256.00",556,Employed,High School,"$23,645.00",24 months,Divorced,2,Mortgage,0,Debt Consolidation,1,,"$2,354.67",4,No
20309,18,"$77,710.00",458,Employed,Diploma,"$19,366.00",36 months,Married,2,Mortgage,0,Vehicle,0,$537.94,"$6,475.83",6,No
21697,18,"$130,111.00",562,,Diploma,"$29,671.00",60 months,Married,0,Own,0,Debt Consolidation,0,$494.52,"$10,842.58",2,No
14578,18,"$29,092.00",537,Employed,High School,"$24,566.00",60 months,Married,2,Own,0,Education,1,$409.43,"$2,424.33",7,No
15335,18,"$38,194.00",598,Employed,Diploma,"$70,934.00",60 months,Married,3,Rent,0,Home Improvement,0,,"$3,182.83",4,No
24041,18,"$31,973.00",573,,High School,"$29,400.00",36 months,Married,3,Own,0,Personal,0,$816.67,"$2,664.42",11,No
16245,18,"$94,960.00",591,Employed,Bachelor,"$26,881.00",60 months,Married,2,Mortgage,0,Debt Consolidation,1,$448.02,"$7,913.33",4,No
21039,18,"$50,534.00",573,,Bachelor,"$19,472.00",24 months,Divorced,0,Mortgage,0,Home Improvement,0,$811.33,"$4,211.17",6,No
15678,18,"$38,534.00",574,Unemployed,High School,"$7,449.00",24 months,Married,3,Mortgage,0,Debt Consolidation,1,$310.38,"$3,211.17",7,No
10930,18,"$15,000.00",476,Employed,Diploma,"$28,630.00",48 months,Single,2,Own,0,Debt Consolidation,0,$596.46,"$1,250.00",6,No
12457,18,"$41,040.00",580,Employed,High School,"$17,998.00",60 months,Married,4,Rent,0,Education,1,,"$3,420.00",5,No
25351,18,"$45,411.00",579,Employed,High School,"$31,179.00",108 months,Married,1,Rent,0,Education,0,,"$3,784.25",5,No
14720,18,"$41,354.00",603,Employed,Bachelor,"$51,104.00",24 months,Divorced,0,Mortgage,0,Vehicle,0,"$2,129.33","$3,446.17",3,No
30368,18,"$22,489.00",564,Employed,Diploma,"$16,832.00",24 months,Single,1,Other,0,Home Improvement,0,$701.33,"$1,874.08",4,No
26634,18,"$39,404.00",418,Employed,Diploma,"$57,615.00",120 months,Single,2,Own,0,Home Improvement,0,$480.13,"$3,283.67",2,No
20480,18,"$38,945.00",570,Employed,Diploma,"$18,297.00",60 months,Married,3,Mortgage,0,Home Improvement,0,$304.95,"$3,245.42",3,No
13298,18,"$166,661.00",559,Employed,Diploma,"$44,852.00",48 months,Single,0,Mortgage,0,Education,0,$934.42,"$13,888.42",7,No
18575,18,"$26,363.00",601,Employed,Diploma,"$24,873.00",48 months,Married,0,Mortgage,0,Home Improvement,0,$518.19,,4,No
20891,18,"$30,772.00",600,Self-Employed,High School,"$17,030.00",48 months,Married,3,Rent,0,Home Improvement,0,$354.79,"$2,564.33",2,No
28620,18,"$39,699.00",554,Unemployed,Master,"$37,952.00",60 months,Single,1,Own,0,Debt Consolidation,1,$632.53,"$3,308.25",4,No
22771,18,"$92,177.00",591,Employed,Master,"$19,341.00",60 months,Married,3,Own,0,Debt Consolidation,0,$322.35,"$7,681.42",6,Yes
16206,18,"$36,657.00",485,Employed,Bachelor,"$22,787.00",108 months,Married,2,Mortgage,0,Home Improvement,0,,"$3,054.75",4,No
23109,18,"$15,894.00",467,Employed,High School,"$18,089.00",72 months,Married,3,Rent,0,Vehicle,0,$251.24,"$1,324.50",0,No
15662,18,"$20,286.00",574,Employed,High School,"$12,087.00",36 months,Single,4,Mortgage,0,Debt Consolidation,0,$335.75,"$1,690.50",6,No
16949,18,"$67,733.00",398,,Bachelor,"$40,978.00",60 months,Married,2,Rent,0,Personal,0,,"$5,644.42",3,No
29337,18,"$16,863.00",552,Employed,Bachelor,"$16,596.00",24 months,Married,0,Own,0,Personal,0,$691.50,"$1,405.25",3,No
25587,18,"$27,777.00",574,Employed,High School,"$46,288.00",36 months,Single,1,Mortgage,0,Vehicle,0,"$1,285.78","$2,314.75",3,No
27612,18,"$49,883.00",568,Self-Employed,Bachelor,"$11,986.00",24 months,Single,0,Mortgage,0,Debt Consolidation,0,$499.42,"$4,156.92",4,Yes
15480,18,"$22,191.00",556,Employed,High School,"$21,199.00",36 months,Divorced,1,Own,0,Debt Consolidation,1,$588.86,"$1,849.25",5,No
11856,18,"$80,382.00",545,,High School,"$36,970.00",36 months,Married,4,Mortgage,0,Home Improvement,0,"$1,026.94",,5,No
19291,18,"$92,803.00",535,,High School,"$22,477.00",36 months,Married,0,Mortgage,0,Vehicle,0,$624.36,"$7,733.58",4,Yes
20900,18,"$41,894.00",494,Employed,Doctorate,"$16,263.00",12 months,Single,5,Rent,0,Education,0,"$1,355.25","$3,491.17",4,No
26228,18,"$18,481.00",556,Employed,High School,"$41,572.00",60 months,Single,0,Own,0,Personal,0,$692.87,"$1,540.08",7,No
20101,18,"$40,881.00",566,Employed,High School,"$14,373.00",36 months,Divorced,2,Mortgage,0,Debt Consolidation,1,,"$3,406.75",4,No
21376,18,"$56,245.00",444,Self-Employed,High School,"$33,684.00",60 months,Married,4,Other,0,Debt Consolidation,0,$561.40,"$4,687.08",5,No
15112,18,"$40,097.00",516,Employed,Diploma,"$24,752.00",120 months,Married,3,Rent,0,Personal,0,$206.27,,4,No
19804,18,"$52,491.00",501,Employed,Diploma,"$15,067.00",60 months,Single,0,Rent,0,Education,0,,"$4,374.25",4,No
19877,18,"$19,204.00",531,Employed,High School,"$7,864.00",60 months,Widowed,2,Own,0,Debt Consolidation,0,,"$1,600.33",2,No
22878,18,"$39,424.00",585,Employed,High School,"$53,938.00",12 months,Married,0,Mortgage,0,Home Improvement,0,"$4,494.83","$3,285.33",2,No
13018,18,"$56,302.00",497,Employed,Bachelor,"$26,197.00",36 months,Single,3,Mortgage,0,Vehicle,0,$727.69,"$4,691.83",7,No
17539,18,"$25,133.00",562,Employed,Diploma,"$50,488.00",60 months,Married,2,Own,0,Home Improvement,0,$841.47,"$2,094.42",7,No
18523,18,"$147,286.00",540,Employed,Bachelor,"$31,037.00",48 months,Widowed,0,Mortgage,0,Debt Consolidation,0,,"$12,273.83",2,Yes
13471,18,"$52,197.00",466,Employed,High School,"$28,827.00",48 months,Divorced,0,Rent,0,Personal,0,$600.56,"$4,349.75",7,No
14775,18,"$108,993.00",433,,Bachelor,"$25,297.00",60 months,Married,2,Mortgage,0,Debt Consolidation,0,$421.62,"$9,082.75",4,Yes
22502,18,"$91,464.00",570,Employed,Diploma,"$23,992.00",48 months,Single,2,Mortgage,0,Home Improvement,0,$499.83,"$7,622.00",4,No
25096,18,"$25,777.00",462,Employed,Diploma,"$40,405.00",36 months,Divorced,4,Mortgage,0,Education,0,"$1,122.36","$2,148.08",5,No
12505,18,"$19,217.00",579,Employed,High School,"$18,581.00",24 months,Single,1,Mortgage,0,Personal,0,$774.21,,3,No
14877,18,"$59,357.00",553,Unemployed,Bachelor,"$50,497.00",36 months,Divorced,2,Other,0,Home Improvement,0,"$1,402.69","$4,946.42",5,No
30175,18,"$26,990.00",551,Employed,High School,"$27,920.00",12 months,Married,1,Mortgage,0,Home Improvement,0,"$2,326.67",,8,No
21654,18,"$34,217.00",543,Employed,Diploma,"$12,185.00",60 months,Single,1,Mortgage,0,Vehicle,1,$203.08,"$2,851.42",9,No
18765,18,"$15,000.00",585,Employed,Bachelor,"$10,324.00",48 months,Married,0,Mortgage,0,Home Improvement,0,$215.08,,2,No
22368,18,"$50,176.00",576,,High School,"$45,427.00",60 months,Married,1,Mortgage,0,Home Improvement,0,$757.12,"$4,181.33",2,No
13955,18,"$146,377.00",535,Employed,High School,"$21,377.00",60 months,Married,2,Rent,0,Debt Consolidation,1,,"$12,198.08",4,No
25682,18,"$29,006.00",539,Employed,Bachelor,"$7,953.00",36 months,Single,0,Rent,0,Vehicle,0,$220.92,,5,No
14945,18,"$53,592.00",597,Employed,Master,"$18,514.00",12 months,Married,0,Own,0,Education,0,"$1,542.83","$4,466.00",4,No
17456,18,"$54,804.00",580,Employed,High School,"$22,223.00",108 months,Single,3,Other,0,Home Improvement,0,$205.77,"$4,567.00",8,No
22144,18,"$40,963.00",542,Unemployed,Bachelor,"$45,978.00",84 months,Married,0,Rent,0,Home Improvement,0,$547.36,"$3,413.58",7,No
14256,18,"$36,859.00",581,Employed,Diploma,"$15,004.00",48 months,Single,2,Rent,0,Vehicle,0,$312.58,"$3,071.58",5,No
16356,18,"$82,158.00",607,Employed,Bachelor,"$14,571.00",96 months,Divorced,3,Rent,0,Vehicle,0,$151.78,"$6,846.50",3,No
18172,18,"$58,116.00",516,Unemployed,High School,"$24,050.00",60 months,Married,0,Mortgage,0,Home Improvement,0,$400.83,"$4,843.00",4,No
24432,18,"$27,077.00",570,Employed,Master,"$33,876.00",60 months,Married,0,Mortgage,0,Debt Consolidation,0,,"$2,256.42",7,No
14063,18,"$51,226.00",568,Employed,Bachelor,"$20,344.00",60 months,Married,4,Other,0,Education,1,,"$4,268.83",6,No
27991,18,"$39,929.00",571,Employed,Master,"$18,144.00",36 months,Single,0,Rent,0,Debt Consolidation,0,$504.00,,8,Yes
19147,18,"$68,277.00",430,Employed,Bachelor,"$30,105.00",36 months,Single,1,Rent,0,Vehicle,0,$836.25,"$5,689.75",3,No
30289,18,"$55,505.00",505,,High School,"$31,148.00",12 months,Single,1,Other,0,Vehicle,0,,"$4,625.42",6,No
17588,18,"$26,887.00",583,Employed,High School,"$23,388.00",24 months,Single,0,Own,0,Debt Consolidation,0,$974.50,"$2,240.58",4,No
18604,18,"$25,621.00",587,Unemployed,Diploma,"$6,731.00",36 months,Divorced,1,Mortgage,0,Home Improvement,0,$186.97,"$2,135.08",3,No
23744,18,"$66,244.00",589,Employed,High School,"$45,380.00",60 months,Single,0,Rent,0,Home Improvement,0,$756.33,"$5,520.33",5,No
25558,18,"$55,183.00",599,Employed,Diploma,"$9,697.00",24 months,Married,2,Mortgage,0,Home Improvement,0,,"$4,598.58",5,Yes
22408,18,"$92,242.00",617,Employed,Master,"$20,137.00",36 months,Divorced,3,Mortgage,0,Debt Consolidation,0,$559.36,"$7,686.83",5,Yes
24070,18,"$18,919.00",580,Employed,Bachelor,"$14,360.00",48 months,Divorced,0,Mortgage,0,Home Improvement,0,$299.17,"$1,576.58",1,No
27483,18,"$56,251.00",457,,High School,"$13,666.00",24 months,Single,1,Mortgage,0,Debt Consolidation,0,$569.42,"$4,687.58",1,Yes
10883,18,"$23,423.00",570,Employed,Bachelor,"$52,430.00",12 months,Married,4,Rent,0,Personal,0,"$4,369.17","$1,951.92",4,No
28095,18,"$30,339.00",475,Employed,Bachelor,"$7,646.00",120 months,Widowed,1,Own,0,Home Improvement,1,$63.72,"$2,528.25",4,No
11790,18,"$20,487.00",538,Unemployed,Diploma,"$18,369.00",36 months,Married,4,Mortgage,0,Debt Consolidation,0,,,3,No
17916,18,"$30,359.00",494,Employed,Diploma,"$14,249.00",48 months,Single,1,Rent,0,Home Improvement,1,$296.85,"$2,529.92",5,No
17338,18,"$22,692.00",478,Employed,Bachelor,"$42,170.00",48 months,Widowed,0,Other,0,Vehicle,0,$878.54,,6,No
18077,18,"$21,278.00",596,Employed,Bachelor,"$24,148.00",48 months,Divorced,2,Mortgage,0,Home Improvement,0,$503.08,,4,No
22175,18,"$15,000.00",476,Employed,High School,"$16,989.00",48 months,Married,0,Own,0,Vehicle,0,$353.94,"$1,250.00",6,No
20535,18,"$39,864.00",566,Employed,Diploma,"$21,571.00",36 months,Married,2,Mortgage,0,Vehicle,0,,"$3,322.00",6,No
26061,18,"$83,971.00",560,Employed,Bachelor,"$11,291.00",72 months,Single,1,Own,0,Vehicle,0,$156.82,"$6,997.58",2,Yes
27801,18,"$20,269.00",538,Employed,High School,"$33,139.00",36 months,Divorced,0,Mortgage,0,Debt Consolidation,0,$920.53,"$1,689.08",4,No
28663,18,"$30,333.00",569,,Bachelor,"$29,501.00",36 months,Divorced,3,Mortgage,0,Home Improvement,0,$819.47,"$2,527.75",5,No
20050,18,"$29,398.00",584,,Diploma,"$27,380.00",84 months,Single,1,Mortgage,0,Debt Consolidation,0,$325.95,"$2,449.83",4,No
13792,18,"$28,187.00",532,Employed,High School,"$25,968.00",48 months,Married,0,Other,0,Debt Consolidation,0,$541.00,"$2,348.92",5,No
10722,18,"$77,920.00",578,Employed,Bachelor,"$20,677.00",36 months,Divorced,2,Rent,0,Debt Consolidation,0,$574.36,"$6,493.33",4,No
30063,18,"$38,921.00",546,Employed,Bachelor,"$28,961.00",60 months,Divorced,2,Mortgage,0,Home Improvement,0,$482.68,"$3,243.42",2,No
15890,18,"$79,797.00",625,Employed,Doctorate,"$32,624.00",108 months,Married,1,Mortgage,0,Home Improvement,0,$302.07,"$6,649.75",9,No
16315,18,"$43,116.00",570,Employed,Bachelor,"$17,621.00",48 months,Single,0,Rent,0,Home Improvement,0,$367.10,"$3,593.00",5,No
20488,18,"$62,810.00",553,Employed,Master,"$8,267.00",36 months,Divorced,0,Rent,0,Home Improvement,0,$229.64,"$5,234.17",2,No
16408,18,"$90,412.00",540,Employed,Master,"$13,439.00",36 months,Married,3,Mortgage,0,Home Improvement,0,$373.31,"$7,534.33",4,Yes
11753,18,"$41,894.00",457,Unemployed,Bachelor,"$10,036.00",24 months,Single,1,Mortgage,0,Home Improvement,0,$418.17,"$3,491.17",4,No
11602,18,"$28,665.00",593,,Master,"$20,887.00",48 months,Single,0,Mortgage,0,Debt Consolidation,0,$435.15,"$2,388.75",3,No
27375,18,"$101,632.00",589,,High School,"$18,990.00",36 months,Single,0,Mortgage,0,Home Improvement,0,$527.50,"$8,469.33",5,Yes
12014,18,"$57,262.00",605,Employed,Bachelor,"$37,919.00",72 months,Married,3,Rent,0,Home Improvement,0,$526.65,"$4,771.83",5,No
25948,18,"$51,764.00",614,Employed,Bachelor,"$14,761.00",96 months,Single,0,Own,0,Home Improvement,0,$153.76,"$4,313.67",5,No
26886,18,"$17,420.00",561,Employed,High School,"$34,105.00",84 months,Divorced,0,Rent,0,Vehicle,0,$406.01,"$1,451.67",9,No
17256,18,"$37,284.00",584,Employed,Master,"$25,045.00",12 months,Single,0,Own,0,Home Improvement,0,"$2,087.08","$3,107.00",6,No
21894,18,"$22,289.00",536,Self-Employed,Bachelor,"$33,734.00",108 months,Single,2,Own,0,Debt Consolidation,0,$312.35,,3,No
25422,18,"$52,690.00",518,,Master,"$10,147.00",48 months,Single,5,Rent,0,Debt Consolidation,0,$211.40,,1,No
16529,18,"$54,615.00",531,Employed,High School,"$18,666.00",60 months,Married,3,Mortgage,0,Home Improvement,0,$311.10,"$4,551.25",4,No
15930,18,"$146,490.00",622,Employed,Doctorate,"$26,150.00",24 months,Married,0,Rent,0,Vehicle,0,,"$12,207.50",6,Yes
